4000138	Lady Boss's Comb
4010006	Gold Ore
2000006	Mana Elixir
2000011	Mana Elixir Pill
2020016	Cheesecake
2022024	Takoyaki (Octopus Ball)
2022026	Yakisoba
2043705	Dark scroll for Wand for Magic Att.
2040716	Dark scroll for Shoes for Speed
2040908	Dark scroll for Shield for HP
2040510	Dark scroll for Overall Armor for DEF
1072239	Yellow Snowshoes
1422013	Leomite
1402016	Devil's Sunrise
1442020	Hellslayer
1432011	Fairfrozen
1332022	Angelic Betrayal
1312015	Vifennis
1382010	Dark Ritual
1372009	Magicodar
1082085	Red Willow
1472033	Casters
4000225	Kimono Piece
2000004	Elixir
2070013	Orange
2002005	Sniper Potion
2022018	Kinoko Ramen(roasted pork)
2040306	Dark scroll for Earring for DEX
2043704	Dark scroll for Wand for Magic Att.
2044605	Dark scroll for Crossbow for ATT
2041034	Dark scroll for Cape for STR
1032019	Crystal Flower Earrings
1102013	White Justice Cape
1322026	Colorful Tube
1092015	Steel Ancient Shield
1382016	Pyogo Mushroom
1002276	Red Falcon
1002403	Blue Arlic Helmet
1472027	Green Scarab
2022027	Yakisoba (x2)
2002008	Sniper Pill
2040813	Dark scroll for Gloves for HP
2041040	Dark scroll for Cape for LUK
1032026	Gold Emerald Earrings
1372011	Zhu-Ge-Liang Wand
2002011	Pain Reliever
4032024	Jumper Cable
4032025	T-1 Socket Adapter
4020006	Topaz Ore
4020008	Black Crystal Ore
4010001	Steel Ore
4004001	Wisdom Crystal Ore
2070006	Ilbi Throwing-Stars
2044404	Dark scroll for Pole Arm for ATT
2044702	Scroll for Claw for ATT
2044305	Dark scroll for Spear for ATT
1102029	White Seraph Cape
1032023	Strawberry Earrings
1402004	Blue Screamer
1072210	Red Rivers Boots
1040104	Orihalcon Platine
1060092	Orihalcon Platine Pants
1082129	Purple Imperial
1442008	The Gold Dragon
1072178	Purple Enigma Shoes
1050092	Green Oriental Fury Coat
1002271	Green Galaxy
1051053	Red Requierre
1382008	Kage
1002275	Blue Falcon
1051082	Red Anes
1050064	Dark Linnex
1472028	Blue Scarab
1072193	Brown Osfa Boots
1072172	Green Pirate Boots
1002285	Blood Nightfox
4000019	Snail Shell
2000000	Red Potion
2040002	Scroll for Helmet for DEF
2041001	Scroll for Cape for Magic Def.
2060000	Arrow for Bow
4010000	Bronze Ore
4020000	Garnet Ore
2061000	Arrow for Crossbow
1002067	Green Headband
2010009	Green Apple
4000000	Blue Snail Shell
2041006	Scroll for Cape for HP
4020001	Amethyst Ore
1040013	Blue One-lined T-Shirt
1041012	Red-Striped T-Shirt
1060004	Grey Thick Sweat Pants
1040017	Grey / Brown Training Shirt
1060013	Grey / Brown Training Pants
4000012	Green Mushroom Cap
2043102	Scroll for One-Handed Axe for ATT
2000003	Blue Potion
4020003	Emerald Ore
1322000	Mace
1041044	Red Nightshift
1061037	Red Nightshift Pants
4010004	Silver Ore
1092008	Pan Lid
1041017	Purple Arianne
1061012	Purple Arianne Skirt
1462002	Battle Crossbow
1041063	Grey Able Armor
1061059	Grey Able Skirt
1452003	Composite Bow
2048000	Scroll for Pet Equip. for Speed
1002033	Old Wisconsin
1302007	Long Sword
4020002	AquaMarine Ore
1032001	Single Earring
1002010	Brown Winter Hat
2000001	Orange Potion
1002143	Green Matty
1432005	Zeco
1412012	Iron Axe
1072285	Brown Lagger Slipper
1482001	Leather Arms
4000005	Leaf
2040802	Scroll for Gloves for DEX
1092003	Stolen Fence
1002039	Bronze Helmet
1442000	Pole Arm
1041061	Yellow Avelin
1061057	Yellow Avelin Skirt
1041018	Green Arianne
1061013	Green Arianne Skirt
1382000	Wooden Staff
1302006	Machete
1482000	Steel Knuckler
1002613	Brown Lagger Cap
4000006	Octopus Leg
2043002	Scroll for One-Handed Sword for ATT
1422000	Wooden Mallet
1092000	Steel Shield
4010003	Adamantium Ore
1041026	Yellow Arianne
1061022	Yellow Arianne Skirt
1040037	Brown Corporal
1060027	Brown Corporal Pants
4000018	Firewood
2043202	Scroll for One-Handed BW for ATT
1372001	Wizard Wand
1072008	Bronze Aroa Boots
4010005	Orihalcon Ore
4020004	Opal Ore
1312016	Contra Axe
1402001	Wooden Sword
1032003	Amethyst Earrings
1092007	Battle Shield
1040019	Orange Split Piece
1060015	White Split Pants
1041045	Brown Nightshift
1061038	Brown Nightshift Pants
1002118	Blue Robin Hat
1382004	Old Wooden Staff
1402009	Wooden Baseball Bat
1492001	Dellinger Special
4000195	Seedling
4020007	Diamond Ore
2040501	Scroll for Overall Armor for DEX
2040801	Scroll for Gloves for DEX
1041062	Yellow Able Armor
1061058	Brown Able Skirt
1050010	Green Plain Robe
2048001	Scroll for Pet Equip. for Speed
1041029	Black Split
1061027	Black Split Skirt
1072046	Orange High Boots
1072066	Blue Enamel Boots
1082018	Dark Savata
1002107	Red Thief Hood
1002113	Blue Feather Hat
1050003	Blue Wizard Robe
1082180	Green Lagger Halfglove
2044802	Scroll for Knuckler for ATT
4000011	Mushroom Spore
2041007	Scroll for Cape for HP
4010002	Mithril Ore
1332006	Field Dagger
1062000	Ice Jeans
1060007	Jean Capris
1061009	Green Avelin Skirt
1002610	Brown Rocky Bandana
4000017	Pig's Head
2041021	Scroll for Cape for LUK
2040702	Scroll for Shoes for DEX
1002008	Brown Skullcap
1062002	Brown Hard Leather Pants
1472000	Garnier
4000021	Leather
1061028	White Split Skirt
1041014	Orange Lolica Armor
1040034	Dark Nightshift
4000002	Pig's Ribbon
4003004	Stiff Feather
2040902	Scroll for Shield for DEF
1040011	Silver Leather Hoodwear
1060024	Dark Nightshift Pants
1402018	Wooden Samurai Sword
1040014	Orange Sporty T-Shirt
1492000	Pistol
1052098	Brown Cotton Lagger
4000001	Orange Mushroom Cap
2040705	Scroll for Shoes for Jump
1072004	White Gomushin
1002043	Bronze Koif
1432000	Spear
1312000	Double Axe
1082012	Basic Archer Gloves
1072015	Brown Hard Leather Boots
1072031	Red Ninja Sandals
1052095	Brown Rocky Suit
2330000	Bullet
2041015	Scroll for Cape for INT
2043302	Scroll for Dagger for ATT
2041004	Scroll for Cape for Weapon Def.
4020005	Sapphire Ore
4000037	Bubbling's Huge Bubble
1002075	Red Apprentice Hat
1040035	Blue Nightshift
1060025	Blue Nightshift Pants
1072019	Blue Jewelry Boots
1432008	Fish Spear
4006000	The Magic Rock
4000003	Tree Branch
2041008	Scroll for Cape for HP
2040402	Scroll for Topwear for DEF
1332000	Triangular Zamadar
1072007	Brown High Boots
1082003	Juno
1061014	Rookie Pants
4000016	Red Snail Shell
2041009	Scroll for Cape for MP
2040502	Scroll for Overall Armor for DEX
1322007	Leather Purse
1372002	Metal Wand
1082029	Brown Duo
1072060	Brown Woodsman Boots
1061029	Red Cloth Pants
4000324	Clover
2040601	Scroll for Bottomwear for DEF
1382002	Wizard Staff
1002119	Green Robin Hat
1332010	Iron Dagger
1050025	White Doros Robe
1082002	Work Gloves
1032009	Yellow Square
1050005	Blue Kendo Robe
4010007	Lidium Ore
1072288	Brown Skeedy Sandals
2040420	Scroll for Topwear for HP 100%
2049000	Clean Slate Scroll 1%
4000325	Carrot
2002002	Magic Potion
2044602	Scroll for Crossbow for ATT
1092021	Mystic Shield
1472006	Adamantium Igor
1060017	White Martial Arts Pants
1002129	Brown Loosecap
1041027	Red Shivermail
1061025	Red Shivermail Skirt
1082183	Brown Leather Armor Glove
2044210	Scroll for Two-Handed BW for Accuracy 100%
4000329	Cactus Stem
2044102	Scroll for Two-handed Axe for ATT
1051004	Purple Doroness Robe
1050024	Yellow Doros Robe
1032006	Lightning Earrings
1002048	Great Blue Helmet
1072027	Brown Jack Boots
1040044	Black Pao
1060033	Black Pao Bottom
1462003	Balanche
2022155	Desert Mist
1082186	Hard Leather Glove
2044901	Scroll for Gun for Attack 60%
2043212	Scroll for One-Handed BW for Accuracy 60%
4000330	Cactus Thorn
1322009	Plunger
1092002	Red Cross Shield
1432002	Forked Spear
1072054	Orange Whitebottom Boots
1082016	Blue Savata
1072078	Black Magicshoes
1061054	Blood Sneak Pants
1041058	Blood Sneak
1002096	Sky Blue Starry Bandana
1050011	Black Dragon Robe
1072291	Brown Wooden Krag
2044314	Scroll for Spear for Accuracy 10%
4000331	Cactus' Flower
2002003	Wizard Potion
2041002	Scroll for Cape for Magic Def.
1442001	Mithril Pole Arm
1322003	Lollipop
1092019	Nimble Wristguard
1072087	Black Lappy Boots
1040068	Dark Hunter's Armor
1060057	Dark Hunter's Pants
1082052	Blue Lutia
1002004	Great Brown Helmet
2043214	Scroll for One-Handed BW for Accuracy 10%
4000328	Snake Rattle
4006001	The Summoning Rock
2044002	Scroll for Two-handed Sword for ATT
1372004	Ice Wand
1002013	Golden Pride
1072086	Green Lappy Boots
1082020	Blue Morrican
1052101	Beige Carribean
1482003	Norman Grip
2040316	Scroll for Earring for DEX 100%
2040319	Scroll for Earring for LUK 100%
2044412	Scroll for Pole-Arm for Accuracy 60%
4000326	Earmuff
2002004	Warrior Potion
2044501	Scroll for Bow for ATT
1402002	Scimitar
1032004	Gold Earrings
1050001	Brown Doros Robe
1002055	Bronze Football Helmet
1040049	Blue Sneak
1060037	Dark Brown Sneak Pants
1082068	Bronze Scaler
1432001	Fork on a Stick
1492002	The Negotiator
2040926	Scroll for Shield for HP 100%
4000327	Ragged Scarf
2070002	Mokbi Throwing-Stars
1332004	Forked Dagger
1382017	Circle-Winded Staff
1041054	Green Huntress Armor
1061050	Green Huntress Pants
1002141	Red Matty
1051011	Red Engrit
1040059	Red Gold Stealer
1060045	Red / Gold Stealer Pants
1492003	Golden Hook
4000333	Telescope
4004002	DEX Crystal Ore
2043701	Scroll for Wand for Magic Att.
1332009	Cass
1412004	Niam
1040062	Red Knucklevest
1060051	Red Knucklevest Pants
1050029	Dark Chaos Robe
1002164	Brown Hawkeye
1082005	Steel Missel
2044801	Scroll for Knuckler for Attack 60%
2044014	Scroll for Two-Handed Sword for Accuracy 10%
2044214	Scroll for Two-Handed BW for Accuracy 10%
4000004	Squishy Liquid
2041018	Scroll for Cape for DEX
4000010	Slime Bubble
2040602	Scroll for Bottomwear for DEF
1002019	White Bandana
1412001	Metal Axe
1082019	Lemona
