4000138	Female Boss	Parlor
4010006	Murupa	Snow-covered Field 1
2000006	Kid Mannequin	5th Floor 6th Floor Area A
2000011	Extra D	Parking Lot
2020016	Giant Cake	Sweet Cake Hill 3
2022024	Fire Raccoon	Forest of Animals
2022026	Big Cloud Fox	A Desolate Cemetery
2043705	Female Boss	Parlor
2040716	Female Boss	Parlor
2040908	Leader B	Parking Lot
2040510	Big Cloud Fox	A Desolate Cemetery
1072239	Female Boss	Parlor
1422013	Blue Wyvern	Blue Wyvern's Nest
1402016	Dark Cornian	The Hidden Dragon Tomb II
1442020	Brexton	Dragon Forest III
1432011	Blue Kentaurus	The Area of Blue Kentaurus
1332022	Death Teddy	Forgotten Path of Time<3>
1312015	Imperial Guard	<Year 2503> Air Battleship Bow
1382010	Overlord B	<Year 2099> Midnight Harbor Warehouse
1372009	Firebrand	Mage Mastery Room
1082085	Triple Rumo	Lab - Unit 103
1472033	Blue Dragon Turtle	Entrance to Dragon Forest
4000225	Dreamy Ghost	Encounter with the Buddha
2000004	Fancy Amplifier 	7th Floor 8th Floor Area C
2070013	Dreamy Ghost	Encounter with the Buddha
2002005	Meerkat	North Desert Road 1
2022018	Dreamy Ghost	Encounter with the Buddha
2040306	Dreamy Ghost	Encounter with the Buddha
2043704	Dreamy Ghost	Encounter with the Buddha
2044605	Dreamy Ghost	Encounter with the Buddha
2041034	Dreamy Ghost	Encounter with the Buddha
1032019	Grupin	Garden of Green II
1102013	Dreamy Ghost	Encounter with the Buddha
1322026	Mask Fish	The Seaweed Tower
1092015	Booper Scarlion	Fantasy Theme Park 2
1382016	Dreamy Ghost	Encounter with the Buddha
1002276	Master Death Teddy	Lost Time
1002403	Rexton	Dragon Forest II
1472027	Yabber Doo	Fantasy Theme Park 2
2022027	Nightghost	A Desolate Cemetery
2002008	Vikerola	Fantasy Theme Park 3
2040813	Extra B	Showa Street 1
2041040	Nightghost	A Desolate Cemetery
1032026	Rurumo	Lab - Area B-3
1372011	Black Crow	Encounter with the Buddha
2002011	Rodeo	Muddy Banks 2
4032024	I.AM.ROBOT	Mountain Slopes
4032025	Wolf Spider	Wolf Spider Cavern
4020006	Murupa	Snow-covered Field 1
4020008	Fancy Amplifier 	7th Floor 8th Floor Area C
4010001	Blue Snail	Purple Plains 1
4004001	Royal Cactus	Cactus Desert 2
2070006	Maverick Type S	<Year 2230> Dangerous Tower Ventilator
2044404	Wolf Spider	Wolf Spider Cavern
2044702	Copper Drake	The Tunnel That Lost Light I
2044305	Wolf Spider	Wolf Spider Cavern
1102029	Booper Scarlion	Fantasy Theme Park 2
1032023	Lycanthrope	Wolf Territory III
1402004	Lycanthrope	Wolf Territory III
1072210	Homunculus	Lab - Unit 203
1040104	Homun	Lab - Unit 201
1060092	Homun	Lab - Unit 201
1082129	Lycanthrope	Wolf Territory III
1442008	Buffoon	Warped Path of Time<2>
1072178	Dark Rash	Peach Monkey Forest
1050092	Lycanthrope	Wolf Territory III
1002271	Dark Yeti	Sharp Cliff I
1051053	Homunculus	Lab - Unit 203
1382008	Black Kentaurus	The Area of Black Kentaurus
1002275	Homunculus	Lab - Unit 203
1051082	Death Teddy	Forgotten Path of Time<3>
1050064	Froscola	Longest Ride on ByeBye Station
1472028	Red Slime	<Year 2021> Average Town Entrance
1072193	Lycanthrope	Wolf Territory III
1072172	Dark Drake	Cold Cradle
1002285	Beetle	Leafre : East Forest
4000019	Snail	Snail Hunting Ground II
2000000	Tiv	Tiv's Forest
2040002	Red Slime	<Year 2021> Average Town Entrance
2041001	Snail	Snail Hunting Ground II
2060000	Rotting Skeleton	Chimney Possessed by the Skeletons
4010000	Snail	Snail Hunting Ground II
4020000	Snail	Snail Hunting Ground II
2061000	Rotting Skeleton	Chimney Possessed by the Skeletons
1002067	Snail	Snail Hunting Ground II
2010009	Snail	Snail Hunting Ground II
4000000	Blue Snail	Purple Plains 1
2041006	Blue Snail	Purple Plains 1
4020001	Blue Snail	Purple Plains 1
1040013	Blue Snail	Purple Plains 1
1041012	Blue Snail	Purple Plains 1
1060004	Blue Snail	Purple Plains 1
1040017	Blue Snail	Purple Plains 1
1060013	Blue Snail	Purple Plains 1
4000012	Green Mushroom	Tree Dungeon, Forest Up North IV
2043102	Tick-Tock	Whirlpool of Time
2000003	Kid Mannequin	5th Floor 6th Floor Area A
4020003	Murumuru	Snow-covered Field 3
1322000	Green Mushroom	Tree Dungeon, Forest Up North IV
1041044	Green Mushroom	Tree Dungeon, Forest Up North IV
1061037	Green Mushroom	Tree Dungeon, Forest Up North IV
4010004	Red Snail	Adventurer Training Center 2
1092008	Oly Oly	Muddy Banks 1
1041017	Green Mushroom	Tree Dungeon, Forest Up North IV
1061012	Green Mushroom	Tree Dungeon, Forest Up North IV
1462002	Green Mushroom	Tree Dungeon, Forest Up North IV
1041063	Green Mushroom	Tree Dungeon, Forest Up North IV
1061059	Green Mushroom	Tree Dungeon, Forest Up North IV
1452003	Stump	Perion Street Corner
2048000	Bubbling	Line 1 <Area 1>
1002033	Green Mushroom	Tree Dungeon, Forest Up North IV
1302007	Green Mushroom	Tree Dungeon, Forest Up North IV
4020002	Murukun	Dangerous Forest
1032001	Murumuru	Snow-covered Field 3
1002010	Green Mushroom	Tree Dungeon, Forest Up North IV
2000001	Kid Mannequin	5th Floor 6th Floor Area A
1002143	Dead Scarecrow	Chimney Possessed by the Scarecrow
1432005	Fancy Amplifier 	7th Floor 8th Floor Area C
1412012	Slime	The Tree That Grew II
1072285	Emo Slime	Outskirts of Muddy Banks
1482001	Freezer	Suburban Area 1
