1	20	1	Snow Blower	Extra Frosty Snow Zone
1	4	9	Tino	Tino's Forest
1	3	8	Snail	Snail Hunting Ground II
1	1	8	Tutorial Muru	Cold Forest 3
1	1	8	Tutorial Drumming Rabbit	Lower level of the Training Camp
1	1	8	Tutorial Leatty	Lower level of the Training Camp
1	1	8	Tutorial Jr. Sentinel	In a Small Forest
1	1	8	Muru	Dangerous Forest
1	1	9	Tutorial Tino	Forest of Beginning 3
2	4	15	Blue Snail	Purple Plains 1
2	5	20	Shroom	Mushroom Garden
2	7	777	Bob	Drake's Meal Table
3	7	25	Tiv	Tiv's Forest
3	6	28	Murupa	Snow-covered Field 1
4	8	40	Stump	Perion Street Corner
4	8	40	Red Snail	Adventurer Training Center 2
5	9	43	Murupia	Snow-covered Field 2
5	9	45	Timu	Timu's Forest
6	22	60	Stirge	Primrose Hill
6	22	60	Stirge	Primrose Hill
6	10	50	Slime	The Tree That Grew II
6	10	50	Target Slime	Training Ground 1
6	10	50	Target Slime	The 1st Drill Hall
7	16	70	Tiru	Tiru's Forest
7	15	70	Murumuru	Snow-covered Field 3
7	15	75	Target Pig	The 1st Drill Hall
7	15	75	Pig	Pig Town
7	15	75	Pig	Pirate Training Center
7	15	75	Strange Pig	The Forest East of Henesys
7	15	75	Target Pig	Training Ground 3
8	15	80	Target Orange Mushroom	Training Ground 2
8	15	80	Cynical Orange Mushroom	Nefarious Hill
8	15	80	Orange Mushroom	Adventurer Training Center 4
8	15	80	Orange Mushroom	L Forest III
8	15	80	Target Orange Mushroom	The 1st Drill Hall
8	15	80	Strange Orange Mushroom	Henesys Hunting Ground III
8	15	80	Strange Orange Mushroom	The Forest East of Henesys
8	10	80	Flyeye	Primrose Hill
8	10	80	Flyeye	Primrose Hill
9	19	100	Tiguru	Tiguru's Forest
9	18	95	Murukun	Dangerous Forest
10	20	120	Strange Ribbon Pig	Henesys Hunting Ground III
10	20	120	Strange Ribbon Pig	The Forest East of Henesys
10	20	120	Ribbon Pig	Pig Town
10	20	120	Ribbon Pig	L Forest II
10	18	250	Strange Dark Stump	The Tree That Grew III
10	18	250	Dark Stump	West Domain of Perion
11	22	155	Goblin Fire	Primrose Hill
11	22	155	Goblin Fire	Primrose Hill
